,Rule code,Rule message,Affected fields
0,166,Date of review is invalid or blank.,['REVIEW']
1,INT06,Internal Check: Child in OC3 does not exist in Header.,['CHILD']
2,103,The ethnicity code is either not valid or has not been entered.,['ETHNIC']
3,584,"Date of decision that the child should be placed for adoption this year is different from that recorded last year, but the decision to placed the child for adoption changed and the child should no longer be placed for adoption.",['DATE_PLACED']
4,420,LA of placement completed but child is looked after under legal status V3 or V4.,['PL_LA']
5,INT31,Internal Check: Child should only exist once in AD1.,['CHILD']
6,581,Child is missing but has not yet started to be looked after.,['MIS_START']
7,373,Child placed in a school should be at least 4 years old.,"['DECOM', 'PLACE']"
8,303,"If date Unaccompanied Asylum-Seeking Child (UASC) status ceased is not null, UASC status must be coded 1.","['DUC', 'UASC']"
9,185,Child has not been looked after continuously for at least 12 months at 31 March but a Strengths and Difficulties (SDQ) score has been completed.,['SDQ_SCORE']
10,115,Date of Local Authority's (LA) decision that a child should be placed for adoption is not a valid date.,['DATE_PLACED']
11,504,The category of need code differs from that reported at start of current period of being looked after,['CIN']
12,334,Date child started to be looked after in latest period of care must be on or prior to the date should be placed for adoption. ,"['DATE_INT', 'DECOM', 'RNE']"
13,188,"Child is aged under 4 years at the end of the year, but a Strengths and Difficulties (SDQ) score or a reason for no SDQ score has been completed. ","['SDQ_SCORE', 'SDQ_REASON']"
14,570,The date that the child started to be missing or away from placement without authorisation is after the end of the collection year.,['MIS_START']
15,117,Date of decision that a child should/should no longer be placed for adoption is beyond the current collection year or after the child ceased to be looked after.,"['DATE_PLACED_CEASED', 'DATE_PLACED', 'DEC', 'REC', 'DECOM']"
16,191,Child has been looked after continuously for at least 12 months at 31 March but one or more data items relating to children looked after for 12 months have been left blank.,"['IMMUNISATIONS', 'TEETH_CHECK', 'HEALTH_ASSESSMENT', 'SUBSTANCE_MISUSE', 'CHILD']"
17,215,Child has care leaver information but one or more data items relating to children looked after for 12 months have been completed.,"['IN_TOUCH', 'ACTIV', 'ACCOM', 'CONVICTED', 'HEALTH_CHECK', 'IMMUNISATIONS', 'TEETH_CHECK', 'HEALTH_ASSESSMENT', 'SUBSTANCE_MISUSE', 'INTERVENTION_RECEIVED', 'INTERVENTION_OFFERED']"
18,102,Date of birth is not a valid date.,['DOB']
19,133,Data entry for accommodation after leaving care is invalid. If reporting on a childs accommodation after leaving care the data entry must be valid,['ACCOM']
20,142,"A new episode has started, but the previous episode has not ended.","['DEC', 'REC']"
21,217,"Children who are placed for adoption with current foster carers (placement types A3 or A5) must have a reason for new episode of S, T or U.","['PLACE', 'DECOM', 'RNE']"
22,197a,Reason for no Strengths and Difficulties (SDQ) score is not required if Strengths and Difficulties Questionnaire score is filled in.,"['SDQ_SCORE', 'SDQ_REASON']"
23,INT12,Internal Check: DOB in PlacedAdoption is different to DOB in Header.,['DOB']
24,452,Contradiction between local authority of placement code in the last episode of the previous year and in the first episode of the current year.,['PL_LA']
25,519,"Data entered on the legal status of adopters shows civil partnership couple, but data entered on genders of adopters does not show it as a couple.","['LS_ADOPTR', 'SEX_ADOPTR']"
26,557,Child for whom the decision was made that they should be placed for adoption has left care but was not adopted and information on the decision that they should no longer be placed for adoption items has not been completed.,"['DATE_PLACED_CEASED', 'REASON_PLACED_CEASED', 'PLACE', 'LS', 'REC']"
27,556,Date of decision that the child should be placed for adoption should be on or prior to the date that the freeing order was granted.,"['DATE_PLACED', 'DECOM']"
28,1005,The end date of the missing episode or episode that the child was away from placement without authorisation is not a valid date.,['MIS_END']
29,388,"Reason episode ceased is coded new episode begins, but there is no continuation episode.",['REC']
30,406,Child is Unaccompanied Asylum-Seeking Child (UASC) or was formerly UASC. Distance should be blank. [NOTE: This check will result in false negatives for children formerly UASC not identified as such in loaded data],['PL_DISTANCE']
31,148,"Date episode ceased and reason episode ceased must both be coded, or both left blank.","['DEC', 'REC']"
32,205C,Child not identified as UASC either this year or last year but date UASC ceased has been provided.,"['DUC', 'UASC']"
33,INT01,Data Integrity Check: Child in AD1 does not exist in Header.,['CHILD']
34,612,Date of birth field has been completed but mother field indicates child is not a mother.,"['SEX', 'MOTHER', 'MC_DOB']"
35,633,Local authority code where previous permanence option was arranged is not a valid value.,['LA_PERM']
36,586,Dates of missing periods are before child’s date of birth.,['MIS_START']
37,1008,Ofsted Unique Reference Number (URN) is not valid.,['URN']
38,INT07,Internal Check: Child in PrevPerm does not exist in Header.,['CHILD']
39,524,If reporting legal status of adopters is L12 then the genders of adopters should be coded as MM or FF. MM = the adopting couple are both males. FF = the adopting couple are both females,"['LS_ADOPTR', 'SEX_ADOPTR']"
40,522,Date of decision that the child should be placed for adoption must be on or before the date that a child should no longer be placed for adoption.,"['DATE_PLACED', 'DATE_PLACED_CEASED']"
41,INT21,Internal Check: SEX in UASC is different to SEX in Header.,['SEX']
42,607,"Child ceased to be looked after in the year, but mother field has not been completed.","['DEC', 'REC', 'MOTHER', 'LS', 'SEX']"
43,518,If reporting legal status of adopters is L4 then the genders of adopters should be coded as MM or FF. MM = the adopting couple are both males. FF = the adopting couple are both females.,"['LS_ADOPTR', 'SEX_ADOPTR']"
44,INT33,Internal Check: Child should only exist once in OC2.,['CHILD']
45,501,A new episode has started before the end date of the previous episode.,"['DECOM', 'DEC']"
46,383,A child in a temporary placement must subsequently return to his/her normal placement.,['PLACE']
47,218,Ofsted Unique reference number (URN) is required.,['URN']
48,132,Data entry for activity after leaving care is invalid.,['ACTIV']
49,INT32,Internal Check: Child should only exist once in Header.,['CHILD']
50,210,Children looked after for more than a week at 31 March should not have an unknown Unique Pupil Number (UPN) code of UN4.,"['UPN', 'DECOM']"
51,INT36,Internal Check: Child should only exist once in UASC.,['CHILD']
52,INT34,Internal Check: Child should only exist once in OC3.,['CHILD']
53,208,Unique Pupil Number (UPN) for the current year disagrees with the Unique Pupil Number (UPN) already recorded for this child.,['UPN']
54,385,Date episode ceased must be on or before the end of the current collection year.,['DEC']
55,371,Child in supported accomodation not subject to children’s homes regulations should be at least 16.,"['DECOM', 'PLACE']"
56,198,Child has not been looked after continuously for at least 12 months at 31 March but a reason for no Strengths and Difficulties (SDQ) score has been completed. ,['SDQ_REASON']
57,408,"Child is placed for adoption with a placement order, but no placement order has been recorded.","['PLACE', 'LS']"
58,189,"Child is aged 17 years or over at the beginning of the year, but an Strengths and Difficulties (SDQ) score or a reason for no Strengths and Difficulties (SDQ) score has been completed.","['DOB', 'SDQ_SCORE', 'SDQ_REASON']"
59,526,Child is missing a placement provider code for at least one episode.,"['PLACE', 'PLACE_PROVIDER']"
60,1006,Missing type invalid.,['MISSING']
61,359,Child being looked after following 18th birthday must be accommodated under section 20(5) of the Children Act 1989 in a community home.,"['DEC', 'LS', 'PLACE']"
62,611,"Date of birth field is blank, but child is a mother.","['MOTHER', 'MC_DOB']"
63,377,Only two temporary placements coded as being due to holiday of usual foster carer(s) are allowed in any 12- month period.,['PLACE']
64,546,Children aged 5 or over at 31 March should not have health promotion information completed.,"['DOB', 'HEALTH_CHECK']"
65,374,Child in residential employment should be at least 14 years old.,"['DECOM', 'PLACE']"
66,528,"A placement provider code of PR2 cannot be associated with placements P1, R2 or R5.","['PLACE', 'PLACE_PROVIDER']"
67,578,The date that the child started to be missing is after the child ceased to be looked after.,['MIS_START']
68,531,A placement provider code of PR5 cannot be associated with placements P1.,"['PLACE', 'PLACE_PROVIDER']"
69,379,Temporary placements for unspecified reason (placement code T4) cannot exceed seven days.,"['DECOM', 'PLACE']"
70,583,"More than one date the child should be placed for adoption has been reported, but an earlier decision has not been revoked. Check that both dates are required and add in the date the earlier decision was revoked. Note this may be in a previous year.","['DATE_PLACED', 'DATE_PLACED_CEASED']"
71,226,Reason for placement change is not required.,"['REASON_PLACE_CHANGE', 'PLACE']"
72,INT17,Internal Check: DOB in Reviews is different to DOB in Header.,['DOB']
73,621,Mother’s field has been completed but date of birth shows that the mother is younger than her child.,"['DOB', 'MC_DOB']"
74,221,The Ofsted Unique reference number (URN) provided for the child's placement does not match the placement postcode provided.,['PL_POST']
75,192,Child has been identified as having a substance misuse problem but the additional item on whether an intervention was received has been left blank.,"['SUBSTANCE_MISUSE', 'INTERVENTION_RECEIVED']"
76,145,Category of need code is not a valid code.,['CIN']
77,118,Date of decision that a child should no longer be placed for adoption is before the current collection year or before the date the child started to be looked after.,"['DECOM', 'DECOM', 'LS']"
78,511,"If reporting that the number of person(s) adopting the looked after child is two adopters then the code should only be MM, FF or MF. MM = the adopting couple are both males; FF = the adopting couple are both females; MF = The adopting couple are male and female.","['NB_ADOPTR', 'SEX_ADOPTR']"
79,380,A period of care cannot start with a temporary placement.,"['PLACE', 'RNE']"
80,561,"Date of the decision that the child should be placed for adoption this year is the same as that recorded last year but records show that the decision changed, and the child should no longer be placed for adoption last year.",['DATE_PLACED']
81,165,Data entry for mother status is invalid.,"['MOTHER', 'SEX', 'ACTIV', 'ACCOM', 'IN_TOUCH', 'DECOM']"
82,104,Date for Unaccompanied Asylum-Seeking Children (UASC) status ceased is not a valid date.,['DUC']
83,503J,The placement location in first episode does not match open episode at end of last year.,['PL_LOCATION']
84,550,A placement provider code of PR0 can only be associated with placement P1.,"['PLACE', 'PLACE_PROVIDER']"
85,INT04,Internal Check: Child in Missing does not exist in Header.,['CHILD']
86,576,There is an open missing/away from placement without authorisation period in last year’s return and there is no corresponding period recorded at the start of this year.,['CHILD']
87,366,A child cannot change placement during the course of an individual short-term respite break.,['RNE']
88,625,Date of birth of the first child is beyond the end of this reporting year or the date the child ceased to be looked after.,"['MC_DOB', 'DEC']"
89,205A,"Child identified as UASC last year is no longer UASC this year, but date UASC ceased in both years does not support this.","['CHILD', 'UASC']"
90,565,The date that the child started to be missing or away from placement without authorisation has been completed but whether the child was missing or away from placement without authorisation has not been completed.,"['MISSING', 'MIS_START']"
91,INT13,Internal Check: DOB in Missing is different to DOB in Header.,['DOB']
92,632,Date of previous permanence order not a valid value. NOTE: This rule may result in false negatives where the period of care started before the current collection year,"['DATE_PERM', 'DECOM']"
93,635,There are entries for date of order and local authority code where previous permanence option was arranged but previous permanence code is Z1,"['LA_PERM', 'DATE_PERM', 'PREV_PERM']"
94,184,Date of decision that a child should be placed for adoption is before the child was born.,"['DATE_PLACED', 'DOB']"
95,225,Reason for placement change must be recorded.,['REASON_PLACE_CHANGE']
96,559,Date of decision that a child should be placed for adoption was not in the current year but the date of the decision that the child should be placed for adoption was not completed in a previous return.,['DATE_PLACED']
97,353,No episode submitted can start before 14 October 1991.,['DECOM']
98,EPI,"WARNING: Episodes need to be loaded for this child before further validation is possible [NOTE: This refers to the DfE portal - here, all checks that can be performed with only the available data will be.]",['CHILD']
99,446,E1 is not a valid code for episodes starting before December 2005.,"['LS', 'DECOM']"
100,398,Distance field completed but child looked after under legal status V3 or V4.,"['LS', 'HOME_POST', 'PL_POST']"
101,176,The gender of adopter(s) at the date of adoption code is not a valid code.,['SEX_ADOPTR']
102,174,Mother's child date of birth is recorded but sex shows that the child is a male.,"['SEX', 'MC_DOB']"
103,435,"Reason for new episode is that child’s placement has changed but not the legal status, but this is not reflected in the episode data recorded.","['LS', 'PLACE', 'PL_POST', 'URN', 'PLACE_PROVIDER']"
104,392c,Postcode(s) provided are invalid.,"['HOME_POST', 'PL_POST']"
105,NoE,This child has no episodes loaded for previous year even though child started to be looked after before this current year.,['DECOM']
106,356,The date the episode ceased is before the date the same episode started.,['DECOM']
107,580,Child is missing when cease being looked after but reason episode ceased not ‘E8’.,['REC']
108,197B,SDQ score or reason for no SDQ should be reported for 4- or 17-year-olds.,"['SDQ_REASON', 'DOB']"
109,361,Police protection legal status lasted longer than maximum 72 hours allowed in the Children Act 1989.,"['DECOM', 'LS', 'DEC']"
110,116,Date of Local Authority's (LA) decision that a child should no longer be placed for adoption is not a valid date.,['DATE_PLACED_CEASED']
111,147,Date episode ceased is not a valid date.,['DEC']
112,574,A new missing/away from placement without authorisation period cannot start when the previous missing/away from placement without authorisation period is still open. Missing/away from placement without authorisation periods should also not overlap.,"['MIS_START', 'MIS_END']"
113,INT05,Internal Check: Child in OC2 does not exist in Header.,['CHILD']
114,503A,The reason for new episode in the first episode does not match open episode at end of last year.,['RNE']
115,1007,Care leaver information is not required for 17- or 18-year olds who are still looked after [on their 17th or 18th birthday.],"['IN_TOUCH', 'ACTIV', 'ACCOM']"
116,INT11,Internal Check: DOB in AD1 is different to DOB in Header.,['DOB']
117,INT03,Internal Check: Child in Episodes does not exist in Header.,['CHILD']
118,442,Unique Pupil Number (UPN) field is not completed.,['UPN']
119,626,Child was reported as a mother but the date of birth of the first child is before the current year which contradicts with the mother status recorded last year.,"['MOTHER', 'MC_DOB']"
120,523,Date of decision that the child should be placed for adoption should be the same date as the decision that adoption is in the best interest (date should be placed).,"['DATE_PLACED', 'DATE_INT']"
121,393,Child is looked after but mother field is not completed.,['MOTHER']
122,333,Date should be placed for adoption must be on or prior to the date of matching child with adopter(s).,['DATE_INT']
123,517,If reporting legal status of adopters is L3 then the genders of adopters should be coded as MF. MF = the adopting couple are male and female.,"['LS_ADOPTR', 'SEX_ADOPTR']"
124,213,Placement provider information not required.,['PLACE_PROVIDER']
125,158,"If a child has been recorded as receiving an intervention for their substance misuse problem, then the additional item on whether an intervention was offered should be left blank.","['INTERVENTION_RECEIVED', 'INTERVENTION_OFFERED']"
126,141,Date episode began is not a valid date.,['DECOM']
127,399,"Mother field, review field or participation field are completed but child is looked after under legal status V3 or V4.","['MOTHER', 'LS', 'REVIEW', 'REVIEW_CODE']"
128,190,Child has not been looked after continuously for at least 12 months at 31 March but one or more data items relating to children looked after for 12 months have been completed.,"['CONVICTED', 'HEALTH_CHECK', 'IMMUNISATIONS', 'TEETH_CHECK', 'HEALTH_ASSESSMENT', 'SUBSTANCE_MISUSE', 'INTERVENTION_RECEIVED', 'INTERVENTION_OFFERED']"
129,560,Date of decision that the child should be placed for adoption this year is different from that recorded last year but the decision to place the child for adoption did not change.,"['DATE_PLACED', 'DATE_PLACED_CEASED']"
130,1004,The start date of the missing episode or episode that the child was away from placement without authorisation is not a valid date.,['MIS_START']
131,553,Placement order has been granted but there is no date of decision that the child should be placed for adoption.,"['CHILD', 'DATE_PLACED', 'DATE_PLACED_CEASED', 'REASON_PLACED_CEASED']"
132,407,"Reason episode ceased is Special Guardianship Order, but child has reached age 18.","['DEC', 'DOB', 'REC']"
133,453,Contradiction between placement distance in the last episode of the previous year and in the first episode of the current year.,['PL_DISTANCE']
134,181,Data items relating to children looked after continuously for 12 months should be completed with a 0 or 1.,"['CONVICTED', 'HEALTH_CHECK', 'IMMUNISATIONS', 'TEETH_CHECK', 'HEALTH_ASSESSMENT', 'SUBSTANCE_MISUSE', 'INTERVENTION_RECEIVED', 'INTERVENTION_OFFERED']"
135,362,Emergency protection order (EPO) lasted longer than 21 days,"['DECOM', 'LS', 'DEC']"
136,144,The legal status code is not a valid code.,['LS']
137,631,Previous permanence option not a valid value.,['PREV_PERM']
138,542,A child aged under 10 at 31 March should not have conviction information completed.,['CONVICTED']
139,566,The date that the child's episode of being missing or away from placement without authorisation ended has been completed but whether the child was missing or away without authorisation has not been completed.,"['MISSING', 'MIS_END']"
140,382,A child receiving respite care cannot be in a temporary placement.,"['LS', 'PLACE']"
141,175,The number of adopter(s) code is not a valid code.,['NB_ADOPTR']
142,1015,Placement provider is own provision but child not placed in own LA.,['PL_LA']
143,3001,"Where care leavers information is being returned for a young person around their 17th birthday, the accommodation cannot be with their former foster carer(s).",['REC']
144,1002,"This child has no previous episodes of care, therefore should not have care leaver information recorded. [NOTE: This tool can only test the current and previous year data loaded into the tool - this check may generate false positives if a child had episodes prior to last year's collection.]","['IN_TOUCH', 'ACTIV', 'ACCOM']"
145,441,"Participation method indicates child was 4 years old or over at the time of the review, but the date of birth and review date indicates the child was under 4 years old.","['DOB', 'REVIEW', 'REVIEW_CODE']"
146,302,First episode starts before child was born.,"['DECOM', 'DOB']"
147,335,"The current foster value (0) suggests that child is not adopted by current foster carer, but last placement is A2, A3, or A5. Or the current foster value (1) suggests that child is adopted by current foster carer, but last placement is A1, A4 or A6.","['PLACE', 'FOSTER_CARE']"
148,INT08,Internal Check: Child in Reviews does not exist in Header.,['CHILD']
149,392a,Child is looked after but no distance is recorded. [NOTE: This check may result in false positives for children formerly UASC],['PL_DISTANCE']
150,503D,The placement type in the first episode does not match open episode at end of last year,['PLACE']
151,INT09,Internal Check: Child in UASC does not exist in Header.,['CHILD']
152,552,Date of Decision to place a child for adoption should be on or prior to the date that the child was placed for adoption.,"['DATE_PLACED', 'DECOM']"
153,628,Motherhood details are not required for care leavers who have not been looked after during the year.,['MOTHER']
154,INT02,Internal Check: Child in PlacedAdoption does not exist in Header.,['CHILD']
155,1010,"This child has no episodes loaded for current year even though there was an open episode of care at the end of the previous year, and care leaver data has been entered.","['IN_TOUCH', 'ACTIV', 'ACCOM']"
156,543,Child is aged 10 or over at 31 March and has been looked after continuously for 12 months yet conviction information has not been completed.,"['DOB', 'CONVICTED']"
157,571,The date that the child ceased to be missing or away from placement without authorisation is before the start or after the end of the collection year.,['MIS_END']
